class	species_invertober	species_described_15112025
Anthozoa	1   10892
Arachnida	2   111771
Bivalvia	2   33761
Cephalopoda	2   12736
Chilopoda	1   3547
Insecta	12  1147646
Clitellata	1   9666
Echinoidea	1   4374
Gastropoda	3   122914
Hydrozoa	1   4546
Malacostraca	2   51380
Not_assigned	1   0
Polychaeta	1   15453
Scyphozoa	1   333
